,CSScode,Connections,Decent_Home,Employment,Environment,Finance_Secure,Healthy,PriceDiff,Safety
52,E09000022,1.124313682,0.107276944,0.291643258,-0.06277132,0.498968576,-1.334041096,0.420576422,-0.783318652
53,E09000023,0.638123982,0.029551762,-0.299992963,0.159182519,0.314379045,-0.549207989,0.413088415,-0.41469811
54,E09000024,0.881218832,1.558147003,-0.051887451,-0.817414375,-1.500751343,1.328785517,0.064896065,1.059784058
55,E09000025,0.881218832,-0.268394768,-1.884051233,0.936020958,-0.485508922,-0.801475774,1.562497569,-0.41469811
56,E09000026,-0.091160569,1.324971458,-0.319078002,-0.462288232,-1.193102124,-0.381029466,-0.710112713,0.691163516
57,E09000027,0.638123982,1.519284412,1.627596016,-1.205833595,0.314379045,1.104547487,0.525408528,1.428404601
58,E09000028,1.124313682,-0.657020677,0.654259007,2.090180925,-0.762393219,-0.885565035,0.274560276,-0.783318652
59,E09000029,0.395029132,1.389742443,0.062622786,0.159182519,1.021972247,1.468934287,-0.298272299,1.059784058
60,E09000030,0.881218832,-2.09493654,1.035959795,2.977996284,-1.346926733,1.917410348,-0.163488164,-0.41469811
61,E09000031,-1.06353997,0.780895186,-0.948884302,-1.061563599,-0.670098453,-0.885565035,-0.549120551,0.322542974
62,E09000032,1.124313682,0.690215807,1.608510976,0.514308663,0.099024592,1.188636748,0.102336103,0.691163516
63,E09000033,0.638123982,-0.77360845,0.845109401,0.647480967,-0.916217828,0.684101179,-2.166530175,-3.732282988
64,E09000002,-3.613706922,-0.095652096,-2.304341076,-0.512158947,-1.230090006,-2.151245976,-0.51624468,-0.495523798
65,E09000003,0.6392021,0.424340764,-0.499896923,-0.101576409,-0.749746574,-0.137313573,-0.819907347,1.266338594
66,E09000004,-0.575914763,-1.005639599,-0.682368804,-0.934146556,0.514315089,0.385785753,-0.212582012,0.561593637
67,E09000005,0.234163146,0.377068685,-1.452805633,0.080904719,-0.825590274,1.118124808,-0.058612209,0.209221159
68,E09000006,-0.575914763,0.861607486,0.959878122,-1.105222613,1.424439486,0.621180449,-1.64963351,0.913966116
69,E09000007,0.031643668,-2.577436196,0.574659707,0.411651763,0.691283722,-0.895807595,-2.286897418,-0.847896276
70,E09000008,0.234163146,0.211616412,-0.499896923,-0.557779229,-0.294684375,0.725800314,0.236496581,-0.143151319
71,E09000009,0.234163146,-2.187441551,-0.560720883,-0.078766268,0.615440022,0.150391056,-0.529075497,0.209221159
72,E09000010,-0.980953718,0.329796607,-1.49335494,-1.299108812,-0.016590809,-2.805120133,-0.871230615,0.209221159
73,E09000011,-0.778434241,0.329796607,-0.560720883,1.746045012,-0.901433973,0.438095685,-1.067969808,-0.495523798
74,E09000012,-0.373395286,0.459794822,-0.033579895,1.392487827,0.413190156,-0.634257932,1.58373236,-0.847896276
75,E09000013,0.436682623,-0.47382872,1.628941684,0.297601058,1.348595787,0.673490382,-0.747199385,-0.495523798
76,E09000014,-0.575914763,0.672519174,-0.966213951,-1.219273318,-1.634589738,0.778110247,0.11674229,-0.495523798
